City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,thulamahashi,-24.7246,31.1994,28.28,46,93,1.53,ZA,1705145094
303,chui,-33.6971,-53.4616,20.2,65,1,3.27,UY,1705145096
304,santiago de cao,-7.9589,-79.2392,22.07,83,100,3.09,PE,1705145096
305,aoulef,26.9667,1.0833,20.7,25,0,7.69,DZ,1705145097
306,gandajika,-6.75,23.95,27.76,66,87,1.48,CD,1705145098
307,santa ana,33.7456,-117.8678,8.3,63,0,2.06,US,1705145098
308,keflavik,64.0049,-22.5624,3.24,100,75,1.54,IS,1705145099
309,kailua-kona,19.6406,-155.9956,18.83,71,0,2.06,US,1705144833
310,dauphin,51.1494,-100.0502,-25.92,76,100,5.66,CA,1705144621
311,ironwood,46.4547,-90.171,-9.58,86,100,5.14,US,1705145101
312,usman',52.0466,39.7288,-19.94,86,4,1.79,RU,1705145102
313,ballycastle,55.2044,-6.243,10.3,60,91,4.89,GB,1705145103
314,luwingu,-10.2621,29.9271,18.94,93,100,1.14,ZM,1705145103
315,mayqayyng,51.4625,75.7986,-6.37,78,100,3.41,KZ,1705144834
316,howrah,22.5892,88.3103,21.0,40,0,4.12,IN,1705145105
317,vernon,50.2581,-119.2691,-26.72,70,17,0.59,CA,1705145106
318,calolbon,13.596,124.0991,26.11,75,100,6.78,PH,1705145107
319,woodland park,40.8898,-74.1949,11.61,89,100,5.66,US,1705145107
320,chibougamau,49.9168,-74.3659,-15.21,78,100,6.69,CA,1705145108
321,iranduba,-3.2847,-60.1861,25.16,96,100,1.1,BR,1705145110
322,dunedin,-45.8742,170.5036,15.45,89,99,1.34,NZ,1705144838
323,crucecita,-28.95,-58.9833,20.81,80,0,3.97,AR,1705145111
324,alcantara,-2.4089,-44.4147,25.11,92,100,1.89,BR,1705145112
325,christchurch,-43.5333,172.6333,20.86,55,7,3.09,NZ,1705144332
326,princeville,45.7668,-61.2985,-6.27,85,75,0.0,CA,1705145113
327,ancud,-41.8697,-73.8203,10.36,85,54,0.79,CL,1705145114
328,reggane,26.7158,0.1714,21.57,21,0,5.37,DZ,1705145115
329,whangarei,-35.7317,174.3239,16.77,97,5,1.18,NZ,1705145116
330,diego de almagro,-26.3667,-70.05,16.42,58,0,0.47,CL,1705145117
331,letlhakane,-21.4167,25.5833,30.07,44,99,3.59,BW,1705145117
332,kolyvan',55.3053,82.7391,-9.67,84,100,5.74,RU,1705145118
333,alakurtti,66.9672,30.3491,-12.62,97,100,1.45,RU,1705145119
334,narrabri,-30.3167,149.7833,28.62,60,41,1.6,AU,1705145119
335,myeik,12.4333,98.6,27.18,73,52,3.43,MM,1705145120
336,kokstad,-30.5472,29.4241,28.4,44,1,2.23,ZA,1705145121
337,tynda,55.1667,124.7167,-18.44,92,100,2.09,RU,1705145122
338,cockburn town,21.4612,-71.1419,25.66,76,2,8.42,TC,1705145122
339,lamu,-2.2717,40.902,29.07,71,93,5.5,KE,1705145123
340,malango,-2.9627,119.9001,21.83,97,100,0.68,ID,1705145124
341,karonga,-9.9333,33.9333,23.46,88,100,1.04,MW,1705145125
342,san rafael del yuma,18.4299,-68.6739,22.11,93,25,3.4,DO,1705145126
343,new norfolk,-42.7826,147.0587,14.4,71,0,1.58,AU,1705145127
